,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros
531,10,91,2,15.6,6,3,8,5,3,3,2.0,860.0
532,4,288,2,15.6,20,13,8,12,70,3,2.0,1299.0
533,15,289,2,13.3,6,62,4,14,22,3,1.2,369.0
534,4,209,4,15.6,6,17,8,9,24,3,2.3,1649.0
535,5,287,2,15.6,3,55,8,3,20,3,1.93,1369.0
536,5,17,2,15.6,3,9,8,3,19,3,2.2,797.41
537,2,3,2,15.6,3,58,4,3,58,3,1.86,398.99
538,2,290,4,17.3,3,26,12,7,24,3,2.62,1799.0
539,6,291,2,14.0,6,13,8,3,15,3,1.87,859.0
540,5,10,1,13.3,13,8,8,3,9,3,1.2,1399.0
541,5,139,2,14.0,3,10,4,1,10,3,1.6,735.87
542,2,292,1,13.3,30,13,8,3,3,3,1.34,1145.0
543,3,127,4,15.6,3,17,8,7,17,5,2.4,798.0
544,4,293,2,15.6,5,76,4,5,71,3,2.0,349.0
545,2,25,2,15.6,3,15,4,1,3,3,2.1,705.5
546,6,294,2,14.0,3,3,4,5,3,3,1.87,785.0
547,6,295,2,15.6,3,36,4,7,10,2,2.15,462.35
548,2,3,2,15.6,3,10,4,5,10,3,1.86,397.0
549,6,296,2,15.6,6,13,8,4,3,3,1.99,1729.0
550,6,31,2,15.6,3,10,4,1,10,3,2.2,499.0
551,5,287,2,15.6,3,3,8,3,3,3,1.9,1116.99
552,5,133,4,17.3,6,26,16,12,31,3,4.42,2699.0
553,2,297,2,17.3,19,10,8,7,10,3,2.65,544.15
554,2,19,2,17.3,3,13,8,7,20,3,2.63,1280.0
555,4,298,2,15.6,5,24,4,5,22,5,2.0,224.0
556,15,299,2,13.3,6,16,4,8,21,3,1.35,255.0
557,6,130,2,17.3,19,13,6,9,15,3,2.8,949.0
558,2,300,2,15.6,6,47,6,1,19,3,1.91,568.9
559,5,156,2,15.6,5,10,4,7,42,3,2.18,617.9
560,3,301,5,11.6,8,77,4,8,22,3,1.25,349.0
561,6,302,2,15.6,3,25,4,1,3,3,2.05,630.0
562,2,303,1,13.3,31,37,16,4,41,3,1.16,1965.0
563,6,304,2,17.3,6,26,8,3,72,3,3.4,2999.0
564,4,305,2,15.6,3,17,8,9,17,3,2.5,839.0
565,5,10,1,13.3,15,9,8,1,9,3,1.21,1599.0
566,5,287,2,15.6,5,60,4,5,3,3,1.93,959.0
567,18,306,2,15.6,5,3,8,7,3,3,2.2,739.0
568,6,174,2,15.6,3,29,4,5,43,3,2.2,344.0
569,6,221,2,14.0,5,3,4,5,3,3,2.02,990.0
570,2,307,6,17.3,19,68,8,5,47,3,3.14,1860.99
571,2,308,2,14.0,5,58,8,15,58,3,1.94,389.0
572,2,309,2,15.6,6,78,6,3,19,3,1.95,649.0
573,6,267,2,15.6,3,3,8,3,3,3,2.3,830.0
574,6,310,2,15.6,3,9,4,5,3,3,2.05,685.0
575,15,311,2,14.0,3,16,4,14,21,3,1.4,249.0
576,10,312,1,14.0,9,13,16,4,3,3,1.24,1865.0
577,6,313,4,17.3,6,79,32,12,31,3,4.6,2663.0
578,8,314,4,17.3,3,43,16,18,31,3,4.14,2729.0
579,5,7,2,15.6,3,13,8,3,12,5,2.2,749.01
580,15,289,2,14.0,6,62,4,14,22,3,1.45,389.0
581,5,287,2,15.6,5,60,8,5,3,3,1.9,1008.52
582,2,35,2,13.3,3,15,4,1,3,3,1.49,719.0
583,5,287,2,15.6,3,55,16,3,20,3,1.93,1537.39
584,5,315,3,11.6,5,31,4,24,16,8,1.26,295.0
585,8,316,4,17.3,3,79,16,9,51,3,4.5,2349.0
586,2,317,4,17.3,6,26,16,12,17,3,3.78,1498.0
587,6,259,1,14.0,6,50,12,3,10,3,1.4,1673.0
588,6,318,2,15.6,22,8,12,7,3,3,2.2,609.0
589,4,209,4,17.3,6,17,8,9,24,3,2.73,1770.0
590,4,319,5,15.6,22,3,8,7,10,3,2.2,739.0
